"crack_rot [deg]","Freq [GHz]","dB(S(2,1)) []"
0,1.2,-82.1142326901837
0,1.206,-82.2684562392339
0,1.212,-82.4280637236666
0,1.218,-82.593250840212
0,1.224,-82.7642157805114
0,1.23,-82.9411590594346
0,1.236,-83.1242833698413
0,1.242,-83.3137934730428
0,1.248,-83.5098961350917
0,1.254,-83.7128001198774
0,1.26,-83.9227162508177
0,1.266,-84.1398575537166
0,1.272,-84.364439494117
0,1.278,-84.5966803232129
0,1.284,-84.8368015471474
0,1.29,-85.0850285353132
0,1.296,-85.3415912841729
0,1.302,-85.6067253541549
0,1.308,-85.8806729984578
0,1.314,-86.1636845041932
0,1.32,-86.4560197683303
0,1.326,-86.7579501335159
0,1.332,-87.0697605121909
0,1.338,-87.3917518317129
0,1.344,-87.7242438386597
0,1.35,-88.0675783074241
0,1.356,-88.4221227069849
0,1.362,-88.7882743907829
0,1.368,-89.166465388528
0,1.374,-89.557167896214
0,1.38,-89.9609005825384
0,1.386,-90.3782358575074
0,1.392,-90.8098082837638
0,1.398,-91.2563243551352
0,1.404,-91.7185739226711
0,1.41,-92.1974436194817
0,1.416,-92.693932726558
0,1.422,-93.2091720384007
0,1.428,-93.7444464375089
0,1.434,-94.3012220806024
0,1.44,-94.8811793494706
0,1.446,-95.4862530406306
0,1.452,-96.1186816767998
0,1.458,-96.7810683326747
0,1.464,-97.4764559760826
0,1.47,-98.2084209882564
0,1.476,-98.9811890866298
0,1.482,-99.7997778970754
0,1.488,-100.670168809147
0,1.494,-101.599504778129
0,1.5,-102.596293719527
0,1.506,-103.670552458903
0,1.512,-104.833711992692
0,1.518,-106.097814410743
0,1.524,-107.472795505145
0,1.53,-108.958829220691
0,1.536,-110.526716119814
0,1.542,-112.074113638574
0,1.548,-113.3592768541
0,1.554,-114.013484541774
0,1.56,-113.817303014149
0,1.566,-112.961618572849
0,1.572,-111.817191891807
0,1.578,-110.638982712117
0,1.584,-109.538075994849
0,1.59,-108.54755904887
0,1.596,-107.668704182908
0,1.602,-106.892023482112
0,1.608,-106.205552936577
0,1.614,-105.597819060058
0,1.62,-105.058736670484
0,1.626,-104.579737704938
0,1.632,-104.153637956573
0,1.638,-103.774435625084
0,1.644,-103.437112472624
0,1.65,-103.137460169146
0,1.656,-102.871935983817
0,1.662,-102.637545446642
0,1.668,-102.431747770934
0,1.674,-102.252379769412
0,1.68,-102.097594529826
0,1.686,-101.965811772231
0,1.692,-101.855677417431
0,1.698,-101.766030403655
0,1.704,-101.695875191863
0,1.71,-101.644358710865
0,1.716,-101.610750726825
0,1.722,-101.59442679158
0,1.728,-101.594853041475
0,1.734,-101.611572191003
0,1.74,-101.644190098504
0,1.746,-101.692362276908
0,1.752,-101.755779681201
0,1.758,-101.834153024264
0,1.764,-101.927194750941
0,1.77,-102.034597632959
0,1.776,-102.156008732205
0,1.782,-102.290997218265
0,1.788,-102.439014228767
0,1.794,-102.599342656844
0,1.8,-102.771034501216
0,1.806,-102.952833339577
0,1.812,-103.143079794367
0,1.818,-103.339598893973
0,1.824,-103.539570510202
0,1.83,-103.739388277981
0,1.836,-103.934519372107
0,1.842,-104.11938779696
0,1.848,-104.287317062941
0,1.854,-104.430581757753
0,1.86,-104.540625515852
0,1.866,-104.608495244438
0,1.872,-104.625507025491
0,1.878,-104.584093521127
0,1.884,-104.478699484227
0,1.89,-104.306527261143
