"d [mm]","Freq [GHz]","dB(S(1,1)) []"
2,1.2,-0.512517089217802
2,1.206,-0.527324895328538
2,1.212,-0.542092518092482
2,1.218,-0.55681201430203
2,1.224,-0.571475073800991
2,1.23,-0.58607300617559
2,1.236,-0.600596727413344
2,1.242,-0.615036746611483
2,1.248,-0.629383152830738
2,1.254,-0.643625602206287
2,1.26,-0.657753305445642
2,1.266,-0.671755015863447
2,1.272,-0.685619018125603
2,1.278,-0.699333117900445
2,1.284,-0.712884632642555
2,1.29,-0.726260383765935
2,1.296,-0.739446690497591
2,1.302,-0.752429365740493
2,1.308,-0.765193714316442
2,1.314,-0.77772453400505
2,1.32,-0.790006119844623
2,1.326,-0.802022272214658
2,1.332,-0.813756309277889
2,1.338,-0.82519108442227
2,1.344,-0.836309009409752
2,1.35,-0.847092084009292
2,1.356,-0.857521932965184
2,1.362,-0.86757985122848
2,1.368,-0.877246858457421
2,1.374,-0.886503763871659
2,1.38,-0.895331242622569
2,1.386,-0.903709924916096
2,1.392,-0.911620499192578
2,1.398,-0.919043830726421
2,1.404,-0.925961097053124
2,1.41,-0.932353941656947
2,1.416,-0.938204647353223
2,1.422,-0.943496330768023
2,1.428,-0.948213159245684
2,1.434,-0.952340591392496
2,1.44,-0.955865642281057
2,1.446,-0.958777174082427
2,1.452,-0.961066212548793
2,1.458,-0.962726289323313
2,1.464,-0.96375380949151
2,1.47,-0.964148443094825
2,1.476,-0.963913538488291
2,1.482,-0.963056554428476
2,1.488,-0.961589506617095
2,1.494,-0.959529423097083
2,1.5,-0.956898801406811
2,1.506,-0.953726058760225
2,1.512,-0.950045964765418
2,1.518,-0.945900044367531
2,1.524,-0.941336936870146
2,1.53,-0.9364126951412
2,1.536,-0.93119100755797
2,1.542,-0.925743324028943
2,1.548,-0.920148866708682
2,1.554,-0.914494505973549
2,1.56,-0.908874483038179
2,1.566,-0.903389962447412
2,1.572,-0.898148400736239
2,1.578,-0.893262721927448
2,1.584,-0.888850296280029
2,1.59,-0.885031725763732
2,1.596,-0.881929447950884
2,1.602,-0.879666179085725
2,1.608,-0.878363226573406
2,1.614,-0.878138710454057
2,1.62,-0.879105741917148
2,1.626,-0.881370613838554
2,1.632,-0.885031062968474
2,1.638,-0.890174665132957
2,1.644,-0.896877423177026
2,1.65,-0.905202602159461
2,1.656,-0.915199857594211
2,1.662,-0.92690469072761
2,1.668,-0.940338250655311
2,1.674,-0.955507487477982
2,1.68,-0.972405644785333
2,1.686,-0.991013064701078
2,1.692,-1.01129826559184
2,1.698,-1.03321924222265
2,1.704,-1.05672493123309
2,1.71,-1.08175678158686
2,1.716,-1.10825037005626
2,1.722,-1.13613700548622
2,1.728,-1.16534527194988
2,1.734,-1.19580246922334
2,1.74,-1.22743591847279
2,1.746,-1.26017411089246
2,1.752,-1.29394768657531
2,1.758,-1.3286902395967
